subject approach tissue tissueVolume
dh52a drls_1mm_cfg3 1 593927.000000
dh52a drls_1mm_cfg3 2 575153.000000
dh52a drls_1mm_cfg3 3 356753.000000
dh52a drls_1mm_cfg3 4 507476.000000
dh52a drls_1mm_cfg3 5 2144316.000000
dh52a drls_1mm_cfg3-ML 1 813834.902983
dh52a drls_1mm_cfg3-ML 2 423594.949504
dh52a drls_1mm_cfg3-ML 3 272345.967534
dh52a drls_1mm_cfg3-ML 4 461142.945027
dh52a drls_1mm_cfg3-ML 5 2283876.727741
dh53a drls_1mm_cfg3 1 678056.000000
dh53a drls_1mm_cfg3 2 628711.000000
dh53a drls_1mm_cfg3 3 200728.000000
dh53a drls_1mm_cfg3 4 400966.000000
dh53a drls_1mm_cfg3 5 2486915.000000
dh53a drls_1mm_cfg3-ML 1 896443.000000
dh53a drls_1mm_cfg3-ML 2 460906.000000
dh53a drls_1mm_cfg3-ML 3 95207.000000
dh53a drls_1mm_cfg3-ML 4 371136.000000
dh53a drls_1mm_cfg3-ML 5 2647604.000000
dh54a drls_1mm_cfg3 1 669593.000000
dh54a drls_1mm_cfg3 2 671902.000000
dh54a drls_1mm_cfg3 3 304146.000000
dh54a drls_1mm_cfg3 4 451481.000000
dh54a drls_1mm_cfg3 5 2319110.000000
dh54a drls_1mm_cfg3-ML 1 835699.950188
dh54a drls_1mm_cfg3-ML 2 498582.970282
dh54a drls_1mm_cfg3-ML 3 290053.982711
dh54a drls_1mm_cfg3-ML 4 419024.975024
dh54a drls_1mm_cfg3-ML 5 2463131.853186
dh55a drls_1mm_cfg3 1 602153.000000
dh55a drls_1mm_cfg3 2 552710.000000
dh55a drls_1mm_cfg3 3 255381.000000
dh55a drls_1mm_cfg3 4 478371.000000
dh55a drls_1mm_cfg3 5 2245491.000000
dh55a drls_1mm_cfg3-ML 1 785893.953157
dh55a drls_1mm_cfg3-ML 2 405653.975821
dh55a drls_1mm_cfg3-ML 3 186957.988856
dh55a drls_1mm_cfg3-ML 4 451540.973086
dh55a drls_1mm_cfg3-ML 5 2457552.853518
dh56a drls_1mm_cfg3 1 506203.000000
dh56a drls_1mm_cfg3 2 511853.000000
dh56a drls_1mm_cfg3 3 230223.000000
dh56a drls_1mm_cfg3 4 372214.000000
dh56a drls_1mm_cfg3 5 1760458.000000
dh56a drls_1mm_cfg3-ML 1 701507.000000
dh56a drls_1mm_cfg3-ML 2 381561.000000
dh56a drls_1mm_cfg3-ML 3 127725.000000
dh56a drls_1mm_cfg3-ML 4 345653.000000
dh56a drls_1mm_cfg3-ML 5 1863098.000000
dh57a drls_1mm_cfg3 1 621906.000000
dh57a drls_1mm_cfg3 2 622809.000000
dh57a drls_1mm_cfg3 3 260807.000000
dh57a drls_1mm_cfg3 4 318805.000000
dh57a drls_1mm_cfg3 5 2003189.000000
dh57a drls_1mm_cfg3-ML 1 818402.000000
dh57a drls_1mm_cfg3-ML 2 461021.000000
dh57a drls_1mm_cfg3-ML 3 174767.000000
dh57a drls_1mm_cfg3-ML 4 298376.000000
dh57a drls_1mm_cfg3-ML 5 2112859.000000
dh58a drls_1mm_cfg3 1 675598.000000
dh58a drls_1mm_cfg3 2 695169.000000
dh58a drls_1mm_cfg3 3 260082.000000
dh58a drls_1mm_cfg3 4 523141.000000
dh58a drls_1mm_cfg3 5 2059495.000000
dh58a drls_1mm_cfg3-ML 1 860753.948695
dh58a drls_1mm_cfg3-ML 2 532714.968248
dh58a drls_1mm_cfg3-ML 3 215643.987147
dh58a drls_1mm_cfg3-ML 4 486526.971001
dh58a drls_1mm_cfg3-ML 5 2195297.869150
dh59a drls_1mm_cfg3 1 570674.000000
dh59a drls_1mm_cfg3 2 493174.000000
dh59a drls_1mm_cfg3 3 207729.000000
dh59a drls_1mm_cfg3 4 287635.000000
dh59a drls_1mm_cfg3 5 2088645.000000
dh59a drls_1mm_cfg3-ML 1 708434.957774
dh59a drls_1mm_cfg3-ML 2 385701.977010
dh59a drls_1mm_cfg3-ML 3 144573.991383
dh59a drls_1mm_cfg3-ML 4 263910.984270
dh59a drls_1mm_cfg3-ML 5 2185760.869718
dh60a drls_1mm_cfg3 1 597954.000000
dh60a drls_1mm_cfg3 2 584312.000000
dh60a drls_1mm_cfg3 3 192371.000000
dh60a drls_1mm_cfg3 4 272472.000000
dh60a drls_1mm_cfg3 5 2128215.000000
dh60a drls_1mm_cfg3-ML 1 747813.955427
dh60a drls_1mm_cfg3-ML 2 439952.973777
dh60a drls_1mm_cfg3-ML 3 139450.991688
dh60a drls_1mm_cfg3-ML 4 251630.985002
dh60a drls_1mm_cfg3-ML 5 2242783.866320
dh62a drls_1mm_cfg3 1 555872.000000
dh62a drls_1mm_cfg3 2 654859.000000
dh62a drls_1mm_cfg3 3 272761.000000
dh62a drls_1mm_cfg3 4 352515.000000
dh62a drls_1mm_cfg3 5 2172062.000000
dh62a drls_1mm_cfg3-ML 1 787814.906085
dh62a drls_1mm_cfg3-ML 2 460372.945119
dh62a drls_1mm_cfg3-ML 3 199593.976207
dh62a drls_1mm_cfg3-ML 4 330423.960610
dh62a drls_1mm_cfg3-ML 5 2357829.718925
dh63a drls_1mm_cfg3 1 641524.000000
dh63a drls_1mm_cfg3 2 597922.000000
dh63a drls_1mm_cfg3 3 280258.000000
dh63a drls_1mm_cfg3 4 367097.000000
dh63a drls_1mm_cfg3 5 2027126.000000
dh63a drls_1mm_cfg3-ML 1 841591.949837
dh63a drls_1mm_cfg3-ML 2 420281.974949
dh63a drls_1mm_cfg3-ML 3 237847.985823
dh63a drls_1mm_cfg3-ML 4 337312.979895
dh63a drls_1mm_cfg3-ML 5 2118196.873746
dh64a drls_1mm_cfg3 1 539741.000000
dh64a drls_1mm_cfg3 2 522106.000000
dh64a drls_1mm_cfg3 3 300056.000000
dh64a drls_1mm_cfg3 4 345286.000000
dh64a drls_1mm_cfg3 5 1746486.000000
dh64a drls_1mm_cfg3-ML 1 707815.000000
dh64a drls_1mm_cfg3-ML 2 390350.000000
dh64a drls_1mm_cfg3-ML 3 228881.000000
dh64a drls_1mm_cfg3-ML 4 326041.000000
dh64a drls_1mm_cfg3-ML 5 1852564.000000
dh65a drls_1mm_cfg3 1 680288.000000
dh65a drls_1mm_cfg3 2 729309.000000
dh65a drls_1mm_cfg3 3 331503.000000
dh65a drls_1mm_cfg3 4 563116.000000
dh65a drls_1mm_cfg3 5 2547724.000000
dh65a drls_1mm_cfg3-ML 1 817931.000000
dh65a drls_1mm_cfg3-ML 2 587563.000000
dh65a drls_1mm_cfg3-ML 3 300008.000000
dh65a drls_1mm_cfg3-ML 4 530332.000000
dh65a drls_1mm_cfg3-ML 5 2757477.000000
dh66a drls_1mm_cfg3 1 682544.000000
dh66a drls_1mm_cfg3 2 599385.000000
dh66a drls_1mm_cfg3 3 376604.000000
dh66a drls_1mm_cfg3 4 444051.000000
dh66a drls_1mm_cfg3 5 2282958.000000
dh66a drls_1mm_cfg3-ML 1 943048.056210
dh66a drls_1mm_cfg3-ML 2 459650.027397
dh66a drls_1mm_cfg3-ML 3 242921.014479
dh66a drls_1mm_cfg3-ML 4 407155.024268
dh66a drls_1mm_cfg3-ML 5 2434866.145129
dh67a drls_1mm_cfg3 1 589026.000000
dh67a drls_1mm_cfg3 2 638023.000000
dh67a drls_1mm_cfg3 3 340502.000000
dh67a drls_1mm_cfg3 4 349503.000000
dh67a drls_1mm_cfg3 5 1874179.000000
dh67a drls_1mm_cfg3-ML 1 802475.952169
dh67a drls_1mm_cfg3-ML 2 484675.971111
dh67a drls_1mm_cfg3-ML 3 255322.984782
dh67a drls_1mm_cfg3-ML 4 321261.980851
dh67a drls_1mm_cfg3-ML 5 2019636.879620
dh68a drls_1mm_cfg3 1 541489.000000
dh68a drls_1mm_cfg3 2 525795.000000
dh68a drls_1mm_cfg3 3 345059.000000
dh68a drls_1mm_cfg3 4 303714.000000
dh68a drls_1mm_cfg3 5 2850488.000000
dh68a drls_1mm_cfg3-ML 1 704967.957981
dh68a drls_1mm_cfg3-ML 2 392663.976595
dh68a drls_1mm_cfg3-ML 3 270066.983903
dh68a drls_1mm_cfg3-ML 4 276155.983540
dh68a drls_1mm_cfg3-ML 5 2998866.821254
dh69a drls_1mm_cfg3 1 518737.000000
dh69a drls_1mm_cfg3 2 483535.000000
dh69a drls_1mm_cfg3 3 202687.000000
dh69a drls_1mm_cfg3 4 325936.000000
dh69a drls_1mm_cfg3 5 1907894.000000
dh69a drls_1mm_cfg3-ML 1 647305.000000
dh69a drls_1mm_cfg3-ML 2 353841.000000
dh69a drls_1mm_cfg3-ML 3 173437.000000
dh69a drls_1mm_cfg3-ML 4 303615.000000
dh69a drls_1mm_cfg3-ML 5 1984961.000000
